country,country_id
South Korea,1
India,2
France,3
Canada,4
Nigeria,5
South Africa,6
United States,7
Japan,8
Brazil,9
Germany,10
Poland,11
Mexico,12
China,13
Spain,14
Singapore,15
United Kingdom,16
Australia,17
Italy,18
Argentina,19
Taiwan,20
Finland,21
Colombia,22
Thailand,23
Turkey,24
Hong Kong,25
Israel,26
Switzerland,27
Russia,28
Egypt,29
Belgium,30
Netherlands,31
Indonesia,32
Denmark,33
Peru,34
Vietnam,35
Pakistan,36
United Arab Emirates,37
Chile,38
Philippines,39
Lebanon,40
Malaysia,41
Bulgaria,42
Sweden,43
Dominican Republic,44
New Zealand,45
Uruguay,46
Romania,47
Austria,48
Cyprus,49
Ireland,50
Ghana,51
Iran,52
Paraguay,53
Bangladesh,54
Iceland,55
Croatia,56
Norway,57
Serbia,58
Czech Republic,59
Ukraine,60
Cambodia,61
Saudi Arabia,62
Portugal,63
Venezuela,64
Hungary,65
Guatemala,66
Somalia,67
Georgia,68
Soviet Union,69
Slovenia,70
West Germany,71
Senegal,72
Luxembourg,73
Malta,75
Jordan,76
Morocco,77
Iraq,78
Malawi,79
Nepal,80
Vatican City,81
Syria,82
Qatar,83
Kenya,84
Namibia,85
Nicaragua,86
Armenia,87
Slovakia,88
Botswana,89
Sri Lanka,90
Greece,91
Azerbaijan,92
Cuba,93
Kazakhstan,94
Zimbabwe,95
Bermuda,96
Albania,97
Sudan,98
Samoa,99
Ecuador,100
Liechtenstein,101
Cayman Islands,102
Uganda,103
Panama,104
Latvia,105
Montenegro,106
Kuwait,107
Afghanistan,108
Mongolia,109
